,UTC_TIME,TAI,ESP_Q0_COUNTS,ESP_Q1_COUNTS,ESP_Q2_COUNTS,ESP_Q3_COUNTS,ESP_0_7_COUNTS,ESP_17_COUNTS,ESP_25_COUNTS,ESP_30_COUNTS,ESP_36_COUNTS,ESP_DARK_COUNTS,MP_LYA_COUNTS,MP_DARK_COUNTS,dt
99,2024-04-03 20:19:20,2090866797.6127193,52,112,163,223,550,559,156,160,0,49,38,39,2024-04-03 20:19:20
100,2024-04-03 20:19:30,2090866807.6126616,54,110,164,223,551,558,157,161,0,49,39,39,2024-04-03 20:19:30
101,2024-04-03 20:19:40,2090866817.6126668,52,111,162,222,547,558,158,161,0,49,40,40,2024-04-03 20:19:40
102,2024-04-03 20:19:50,2090866827.612612,53,109,165,223,550,558,157,160,0,49,38,38,2024-04-03 20:19:50
103,2024-04-03 20:20:00,2090866837.6129425,53,110,164,223,550,558,157,161,0,49,38,39,2024-04-03 20:20:00
104,2024-04-03 20:20:10,2090866847.6127188,55,112,164,223,554,559,157,161,0,48,38,40,2024-04-03 20:20:10
105,2024-04-03 20:20:20,2090866857.6126976,53,112,163,222,550,559,158,161,0,50,39,39,2024-04-03 20:20:20
106,2024-04-03 20:20:30,2090866867.612701,52,111,162,223,548,558,157,161,0,49,39,39,2024-04-03 20:20:30
107,2024-04-03 20:20:40,2090866877.6127043,54,110,165,223,552,559,158,161,0,49,40,40,2024-04-03 20:20:40
108,2024-04-03 20:20:50,2090866887.6127172,53,110,163,223,549,558,158,161,0,49,39,40,2024-04-03 20:20:50
109,2024-04-03 20:21:00,2090866897.6129055,54,111,163,223,551,558,158,160,0,49,40,39,2024-04-03 20:21:00
110,2024-04-03 20:21:10,2090866907.613009,56,110,164,223,553,560,157,160,0,49,39,39,2024-04-03 20:21:10
111,2024-04-03 20:21:20,2090866917.6127367,54,112,163,222,551,559,157,162,0,49,39,40,2024-04-03 20:21:20
112,2024-04-03 20:21:30,2090866927.6127448,55,110,164,221,550,559,158,161,0,49,40,39,2024-04-03 20:21:30
113,2024-04-03 20:21:40,2090866937.6127522,53,111,163,223,550,559,158,160,0,49,38,39,2024-04-03 20:21:40
114,2024-04-03 20:21:50,2090866947.6127012,54,111,163,222,550,558,158,161,0,49,39,40,2024-04-03 20:21:50
115,2024-04-03 20:22:00,2090866957.6130192,54,109,164,223,550,559,158,161,0,49,39,40,2024-04-03 20:22:00
116,2024-04-03 20:22:10,2090866967.6130512,54,111,165,221,551,559,157,160,0,49,40,39,2024-04-03 20:22:10
117,2024-04-03 20:22:20,2090866977.6130526,53,111,164,223,551,558,158,161,0,48,38,40,2024-04-03 20:22:20
118,2024-04-03 20:22:30,2090866987.6127899,54,111,164,223,552,560,157,160,0,49,41,39,2024-04-03 20:22:30
119,2024-04-03 20:22:40,2090866997.6127894,55,109,164,223,551,558,157,161,0,49,39,40,2024-04-03 20:22:40
120,2024-04-03 20:22:50,2090867007.6127927,53,109,165,223,550,559,157,161,0,49,39,39,2024-04-03 20:22:50
121,2024-04-03 20:23:00,2090867017.6128094,54,111,162,222,549,558,157,161,0,50,39,39,2024-04-03 20:23:00
122,2024-04-03 20:23:10,2090867027.6129436,53,110,164,224,551,559,157,161,0,49,39,40,2024-04-03 20:23:10
123,2024-04-03 20:23:20,2090867037.6128173,53,112,165,221,551,559,158,161,0,49,40,38,2024-04-03 20:23:20
124,2024-04-03 20:23:30,2090867047.6128225,53,111,164,223,551,559,157,160,0,49,39,40,2024-04-03 20:23:30
125,2024-04-03 20:23:40,2090867057.6130977,53,112,163,221,549,558,159,160,0,49,40,40,2024-04-03 20:23:40
126,2024-04-03 20:23:50,2090867067.6128683,53,110,164,222,549,558,157,161,0,49,39,43,2024-04-03 20:23:50
127,2024-04-03 20:24:00,2090867077.6128516,53,111,164,225,553,559,158,161,0,49,39,39,2024-04-03 20:24:00
128,2024-04-03 20:24:10,2090867087.6128435,53,112,164,222,551,559,158,161,0,49,41,39,2024-04-03 20:24:10
129,2024-04-03 20:24:20,2090867097.6128697,54,111,163,223,551,560,158,161,0,49,38,40,2024-04-03 20:24:20
130,2024-04-03 20:24:30,2090867107.613107,54,110,164,221,549,559,158,160,0,50,40,40,2024-04-03 20:24:30
131,2024-04-03 20:24:40,2090867117.61287,55,109,163,221,548,558,158,160,0,50,38,40,2024-04-03 20:24:40
132,2024-04-03 20:24:50,2090867127.6128838,54,110,165,224,553,558,158,161,0,50,40,39,2024-04-03 20:24:50
133,2024-04-03 20:25:00,2090867137.6128995,55,112,163,222,552,559,159,161,0,49,40,40,2024-04-03 20:25:00
134,2024-04-03 20:25:10,2090867147.6128495,55,110,164,222,551,559,157,161,0,48,39,39,2024-04-03 20:25:10
135,2024-04-03 20:25:20,2090867157.613818,54,110,162,222,548,559,159,161,0,49,39,39,2024-04-03 20:25:20
136,2024-04-03 20:25:30,2090867167.6128895,55,111,163,221,550,559,157,160,0,49,41,39,2024-04-03 20:25:30
137,2024-04-03 20:25:40,2090867177.6129196,55,112,163,222,552,556,158,160,0,49,40,39,2024-04-03 20:25:40
138,2024-04-03 20:25:50,2090867187.6132147,54,111,163,222,550,559,157,161,0,49,38,40,2024-04-03 20:25:50
139,2024-04-03 20:26:00,2090867197.6132193,54,109,163,222,548,558,158,161,0,49,39,39,2024-04-03 20:26:00
140,2024-04-03 20:26:10,2090867207.6129432,53,110,164,222,549,558,157,160,0,48,40,40,2024-04-03 20:26:10
141,2024-04-03 20:26:20,2090867217.6128979,54,109,164,222,549,559,158,160,0,49,40,39,2024-04-03 20:26:20
142,2024-04-03 20:26:30,2090867227.613236,54,109,164,224,551,558,158,160,0,48,39,40,2024-04-03 20:26:30
143,2024-04-03 20:26:40,2090867237.6130972,53,111,165,222,551,559,157,162,0,49,39,39,2024-04-03 20:26:40
144,2024-04-03 20:26:50,2090867247.6129613,53,111,164,222,550,559,157,161,0,48,40,39,2024-04-03 20:26:50
145,2024-04-03 20:27:00,2090867257.6129656,53,110,164,222,549,560,157,160,0,48,39,40,2024-04-03 20:27:00
146,2024-04-03 20:27:10,2090867267.613257,54,111,162,224,551,559,158,161,0,49,38,40,2024-04-03 20:27:10
147,2024-04-03 20:27:20,2090867277.6129935,53,111,163,223,550,559,158,161,0,49,39,39,2024-04-03 20:27:20
