,date,time,Flare Flag,1-7 GHz,7-13 GHz,13-18 GHz,Mean,Sigma,Threshold,Count
140,2024-04-03,20:12:46.478000,201246.478,47515.1523,8856.04199,2899.63794,2988.44604,125.067863,3363.64966,139.0
141,2024-04-03,20:12:47.532000,201247.532,47254.0547,8801.47461,2855.30908,2987.49512,125.12233,3362.86206,140.0
142,2024-04-03,20:12:48.154000,201248.154,47974.4375,8831.74902,2883.15649,2986.75513,124.985939,3361.71289,141.0
143,2024-04-03,20:12:49.154000,201249.154,46972.207,8803.25,2868.5271,2985.92261,124.934929,3360.72729,142.0
144,2024-04-03,20:12:50.261000,201250.261,46980.7891,8785.86328,2885.49365,2985.22021,124.776306,3359.54907,143.0
145,2024-04-03,20:12:51.317000,201251.317,47554.0352,8872.29785,2885.85376,2984.53027,124.612518,3358.36792,144.0
146,2024-04-03,20:12:52.425000,201252.425,47009.5508,8870.82422,2872.45068,2983.75708,124.536476,3357.36646,145.0
147,2024-04-03,20:12:53.533000,201253.533,51007.9688,8792.5957,2872.1792,2982.99292,124.44725,3356.33472,146.0
148,2024-04-03,20:12:54.586000,201254.586,48205.0078,8853.05957,2919.17529,2982.55884,124.133377,3354.95898,147.0
149,2024-04-03,20:12:55.154000,201255.154,47974.4727,8863.50098,2873.65381,2981.823,124.033791,3353.92432,148.0
150,2024-04-03,20:12:56.208000,201256.208,47647.8242,8875.09766,2881.21509,2981.14795,123.886604,3352.80786,149.0
151,2024-04-03,20:12:57.316000,201257.316,49121.1719,8842.21191,2872.83569,2980.42578,123.786354,3351.78491,150.0
152,2024-04-03,20:12:58.370000,201258.37,47850.0742,8856.39941,2877.32422,2979.74292,123.659752,3350.72217,151.0
153,2024-04-03,20:12:59.477000,201259.477,47257.293,8814.4248,2862.06982,2978.96875,123.620445,3349.83008,152.0
154,2024-04-03,20:13:00.532000,201300.532,47379.1758,8896.33008,2883.24463,2978.34302,123.458923,3348.71973,153.0
155,2024-04-03,20:13:01.678000,201301.678,46989.4805,8817.61133,2859.2063,2977.56958,123.424767,3347.84375,154.0
156,2024-04-03,20:13:02.154000,201302.154,46774.9961,8879.75195,2890.53857,2977.00806,123.222534,3346.67578,155.0
157,2024-04-03,20:13:03.262000,201303.262,47100.7383,8874.8623,2871.47974,2976.33154,123.116524,3345.68115,156.0
158,2024-04-03,20:13:04.316000,201304.316,47168.5391,8874.95703,2894.04785,2975.80762,122.891655,3344.48267,157.0
159,2024-04-03,20:13:05.424000,201305.424,46540.3438,8802.47168,2866.98486,2975.1189,122.808746,3343.54517,158.0
160,2024-04-03,20:13:06.480000,201306.48,47538.0586,8871.8291,2868.73901,2974.44995,122.70372,3342.56104,159.0
161,2024-04-03,20:13:07.586000,201307.586,48969.0078,8898.12695,2849.13623,2973.6665,122.727905,3341.8501,160.0
