,UTC_TIME,TAI,ESP_Q0_COUNTS,ESP_Q1_COUNTS,ESP_Q2_COUNTS,ESP_Q3_COUNTS,ESP_0_7_COUNTS,ESP_17_COUNTS,ESP_25_COUNTS,ESP_30_COUNTS,ESP_36_COUNTS,ESP_DARK_COUNTS,MP_LYA_COUNTS,MP_DARK_COUNTS,dt,ESP_0_7_DIFFS
93,2024-04-04 01:11:40,2090884337.6294987,56,111,163,223,553,556,157,161,3,49,39,40,2024-04-04 01:11:40,2.0
94,2024-04-04 01:11:50,2090884347.6291113,57,112,165,223,557,557,158,161,3,49,40,41,2024-04-04 01:11:50,4.0
95,2024-04-04 01:12:00,2090884357.6298966,56,111,164,224,555,556,158,161,2,49,39,41,2024-04-04 01:12:00,-2.0
96,2024-04-04 01:12:10,2090884367.6296902,57,113,162,224,556,556,157,161,3,49,40,39,2024-04-04 01:12:10,1.0
97,2024-04-04 01:12:20,2090884377.6299605,56,112,164,222,554,556,158,161,1,49,40,39,2024-04-04 01:12:20,-2.0
98,2024-04-04 01:12:30,2090884387.629243,56,113,164,222,555,556,158,162,1,49,39,40,2024-04-04 01:12:30,1.0
99,2024-04-04 01:12:40,2090884397.6296744,55,113,164,222,554,556,157,161,2,49,40,39,2024-04-04 01:12:40,-1.0
100,2024-04-04 01:12:50,2090884407.629259,57,112,163,223,555,557,157,161,2,49,40,40,2024-04-04 01:12:50,1.0
101,2024-04-04 01:13:00,2090884417.6297507,57,113,163,222,555,556,157,161,2,50,38,40,2024-04-04 01:13:00,0.0
102,2024-04-04 01:13:10,2090884427.629795,56,111,164,223,554,557,158,161,2,49,39,40,2024-04-04 01:13:10,-1.0
103,2024-04-04 01:13:20,2090884437.629711,56,111,166,222,555,557,157,161,3,50,40,39,2024-04-04 01:13:20,1.0
104,2024-04-04 01:13:30,2090884447.629121,55,112,163,223,553,556,157,161,2,49,38,41,2024-04-04 01:13:30,-2.0
105,2024-04-04 01:13:40,2090884457.6300313,54,113,164,221,552,555,157,161,2,50,39,39,2024-04-04 01:13:40,-1.0
106,2024-04-04 01:13:50,2090884467.6291687,53,112,166,223,554,556,158,161,2,49,38,40,2024-04-04 01:13:50,2.0
107,2024-04-04 01:14:00,2090884477.6297395,55,112,164,223,554,558,158,161,2,50,38,39,2024-04-04 01:14:00,0.0
108,2024-04-04 01:14:10,2090884487.6296046,54,112,162,223,551,556,157,161,2,50,39,39,2024-04-04 01:14:10,-3.0
109,2024-04-04 01:14:20,2090884497.6297824,56,113,163,222,554,555,158,161,2,49,40,40,2024-04-04 01:14:20,3.0
110,2024-04-04 01:14:30,2090884507.6383507,55,111,164,223,553,556,157,161,3,48,38,38,2024-04-04 01:14:30,-1.0
111,2024-04-04 01:14:40,2090884517.629222,55,113,165,223,556,556,157,161,2,48,39,41,2024-04-04 01:14:40,3.0
112,2024-04-04 01:14:50,2090884527.6301255,57,112,162,222,553,557,157,162,2,49,40,39,2024-04-04 01:14:50,-3.0
113,2024-04-04 01:15:00,2090884537.6297274,57,111,165,221,554,557,158,161,2,49,39,39,2024-04-04 01:15:00,1.0
114,2024-04-04 01:15:10,2090884547.6298423,57,112,163,223,555,558,157,161,3,50,39,39,2024-04-04 01:15:10,1.0
115,2024-04-04 01:15:20,2090884557.6298199,57,112,165,223,557,558,157,161,2,49,40,40,2024-04-04 01:15:20,2.0
116,2024-04-04 01:15:30,2090884567.6300473,55,111,165,221,552,558,157,161,2,50,40,40,2024-04-04 01:15:30,-5.0
